file_name,class,confidence
CDOSR_044647_0001.jpg,sunlit,0.9999989
CDOSR_044647_0002.jpg,sunlit,0.99999905
CDOSR_044648_0003.jpg,sunlit,0.99999905
CDOSR_044649_0004.jpg,sunlit,0.99999905
CDOSR_044649_0005.jpg,sunlit,0.9999988
CDOSR_044650_0006.jpg,sunlit,0.99999833
CDOSR_044651_0007.jpg,sunlit,0.9999989
CDOSR_044651_0008.jpg,sunlit,0.9999988
CDOSR_044652_0009.jpg,sunlit,0.9999988
CDOSR_044652_0010.jpg,sunlit,0.9999975
CDOSR_044653_0011.jpg,sunlit,0.9999969
CDOSR_044654_0012.jpg,sunlit,0.99999845
CDOSR_044654_0013.jpg,sunlit,0.99999714
CDOSR_044655_0014.jpg,sunlit,0.99999607
CDOSR_044656_0015.jpg,sunlit,0.9999963
CDOSR_044656_0016.jpg,sunlit,0.99999213
CDOSR_044657_0017.jpg,sunlit,0.9999956
CDOSR_044657_0018.jpg,sunlit,0.999997
CDOSR_044658_0019.jpg,sunlit,0.99999475
CDOSR_044659_0020.jpg,sunlit,0.9999944
CDOSR_044659_0021.jpg,sunlit,0.9999968
CDOSR_044700_0022.jpg,sunlit,0.99999523
CDOSR_044701_0023.jpg,sunlit,0.99999845
CDOSR_044701_0024.jpg,sunlit,0.99999845
CDOSR_044702_0025.jpg,sunlit,0.9999975
CDOSR_044702_0026.jpg,sunlit,0.99999857
CDOSR_044703_0027.jpg,sunlit,0.9999962
CDOSR_044704_0028.jpg,sunlit,0.99999785
CDOSR_044704_0029.jpg,sunlit,0.9999993
CDOSR_044705_0030.jpg,sunlit,0.99999905
CDOSR_044706_0031.jpg,sunlit,0.9999962
CDOSR_044706_0032.jpg,sunlit,0.999997
CDOSR_044707_0033.jpg,sunlit,0.9999987
CDOSR_044707_0034.jpg,sunlit,0.99999535
CDOSR_044708_0035.jpg,sunlit,0.99999857
CDOSR_044709_0036.jpg,sunlit,0.99999905
CDOSR_044709_0037.jpg,sunlit,0.9999981
CDOSR_044710_0038.jpg,sunlit,0.99999845
CDOSR_044710_0039.jpg,sunlit,0.99999726
